tanggal,jakarta_pusat,jakarta_selatan,jakarta_barat
2021-01-02,17955,29009,26518
2021-01-09,19168,31727,29121
2021-01-16,20711,35277,31967
2021-01-23,24389,43567,38295
2021-01-30,26630,47996,41879
2021-02-06,28815,53501,46191
2021-02-13,31442,58208,50204
2021-02-20,32588,61487,52292
2021-02-27,33723,64157,54319
2021-03-06,34752,66659,56425
2021-03-13,35754,69105,58089
2021-03-20,36740,71254,59728
2021-03-27,37676,73337,61213
2021-04-03,38301,74990,62658
2021-04-10,38843,76323,63667
2021-04-17,39498,77719,64721
2021-04-24,40111,79146,65722
2021-05-01,40585,80347,66659
2021-05-08,41074,81496,67604
2021-05-15,41437,82478,68445
2021-05-22,41796,83487,69211
2021-05-29,42298,84584,70137
2021-06-05,42835,85822,71290
2021-06-12,44018,87973,73715
2021-06-19,46479,92663,78374
2021-06-26,50633,100353,87041
2021-07-03,57373,111019,99307
2021-07-10,64713,126651,114385
2021-07-17,73238,146832,129105
2021-07-24,77868,157379,137159
2021-07-31,79946,163518,141165
2021-08-07,81099,166976,143076
2021-08-14,81850,168857,144227
2021-08-21,82311,170040,144939
2021-08-28,82638,170864,145333
2021-09-04,82868,171462,145661
2021-09-11,83062,171854,145874
2021-09-18,83230,172079,146048
2021-09-25,83293,172249,146159
2021-10-02,83358,172438,146245
2021-10-09,83414,172578,146328
2021-10-16,83489,172714,146406
2021-10-23,83538,172818,146480
2021-10-30,83572,172924,146527
2021-11-06,83638,173005,146608
2021-11-13,83670,173089,146684
2021-11-20,83715,173156,146774
2021-11-27,83743,173212,146824
